Lung,
ABCA13,
ACSBG1,
ADGB,
ADH6,
AGBL2,
AGBL4,
AK7,
AK8,
AK9,
AKAP14,
AL353898.1,
ALOX15,
ALS2CR12,
ANKDD1B,
ANKFN1,
ANKK1,
ANKRD45,
ANKRD66,
ANKUB1,
APOBEC4,
AQP4-AS1,
ARHGAP39,
ARMC2,
ARMC3,
ARMC4,
ARX,
ATP12A,
BAIAP3,
BARX2,
BCAS1,
BEST4,
BPIFA1,
BPIFB1,
BTG4,
C1QTNF8,
C6,
C6ORF165,
CACNG6,
CAPS,
CAPS2,
CAPSL,
CASC1,
CASC2,
CATSPERD,
CCDC108,
CCDC11,
CCDC113,
CCDC114,
CCDC13,
CCDC135,
CCDC146,
CCDC147,
CCDC148,
CCDC151,
CCDC153,
CCDC157,
CCDC160,
CCDC17,
CCDC170,
CCDC173,
CCDC175,
CCDC176,
CCDC180,
CCDC181,
CCDC19,
CCDC24,
CCDC30,
CCDC33,
CCDC37,
CCDC40,
CCDC42B,
CCDC60,
CCDC65,
CCDC67,
CCDC74A,
CCDC74B,
CCDC78,
CCDC81,
CCDC96,
CCNA1,
CCNO,
CD164L2,
CDHR3,
CDHR4,
CETN2,
CHDC2,
CHST5,
CHST6,
CHST9,
CLDN16,
CLDN8,
CNGA3,
CNGA4,
CNTN5,
COL28A1,
CRISP2,
CTA-363E6.2,
CTB-127C13.1,
CTC-436P18.3,
CTD-2531D15.4,
CTD-2540L5.6,
CTXN1,
CWH43,
CYB5D1,
CYP2F1,
CYP2J2,
DAW1,
DCDC1,
DCDC2B,
DEGS2,
DENND6B,
DLEC1,
DLG5-AS1,
DNAAF1,
DNAAF3,
DNAH10,
DNAH11,
DNAH12,
DNAH2,
DNAH3,
DNAH6,
DNAH7,
DNAH9,
DNAI1,
DNAI2,
DNAJB13,
DNAJC9-AS1,
DNALI1,
DNER,
DOC2A,
DPY19L2P2,
DRC1,
DTHD1,
DYDC1,
DYDC2,
DYNLRB2,
DZANK1,
DZIP1L,
ECT2L,
EEF1A1P33,
EFCAB1,
EFCAB10,
EFCAB12,
EFCAB6,
EFHB,
EFHC1,
EFHC2,
EFNB3,
EML6,
ENKUR,
EPPIN,
ERN2,
ESPN,
EYA1,
FABP6,
FAM154B,
FAM166B,
FAM179A,
FAM183A,
FAM216B,
FAM227A,
FAM229B,
FAM47E,
FAM81A,
FAM81B,
FAM83F,
FAM92B,
FANK1,
FBXL13,
FBXO15,
FBXO36,
FBXW10,
FHAD1,
FOXJ1,
FRMPD2,
GAS2L2,
GAS8,
GBP6,
GIPR,
GJB7,
GPR111,
GPR123,
GPR87,
GRIN3B,
GRM7,
GSTA1,
GSTA3,
HCAR1,
HCG14,
HCN4,
HHATL,
HHATL-AS1,
HHLA2,
HMGA1P8,
HMGB1P16,
HNF4G,
HRK,
HS3ST6,
