Gene symbol
KRT6A
KRT16
KRT6B
TUBB6
EHD2
CALD1
FSCN1
COL17A1
ITGA6
ADAMTS1
KLK7
PLAU
SERPINE1
SERPINE2
SCEL
SPRR1A
SPRR1B
AREG
SPRR3
EREG
NRG1
CAMK2N1
DKK1
RGS20
STC2
CAV1
THBS1
TRIB3
BNC1
UPP1
LIPG
ALDH1L2
PSAT1
LEPREL1
GJB2
GJB6
DSG3
PHLDA1
IL1RL1
IL13RA2
IL1RN
SLC16A1
SLC7A5
CRCT1
